annee_consommation,zone_climatique,code_region,code_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie
Année de référence,H1a,11,78,LONGNES,4,2274,394572,Gaz
Année de référence,H1a,11,78,LOUVECIENNES,10,45548,13369050,Electricite
Année de référence,H1a,11,78,LOUVECIENNES,10,45548,13369050,Gaz
Année de référence,H1a,11,78,MAGNANVILLE,15,59538,12481237,Electricite
Année de référence,H1a,11,78,MAGNANVILLE,15,59538,12481237,Gaz
Année de référence,H1a,11,78,MANTES LA VILLE,18,55646,17046558,Electricite
Année de référence,H1a,11,78,MANTES LA VILLE,18,55646,17046558,Gaz
Année de référence,H1a,11,78,MARLY LE ROI,9,46957,10086230,Electricite
Année de référence,H1a,11,78,MARLY LE ROI,9,46957,10086230,Gaz
Année de référence,H1a,11,78,MAULE,10,26788,4383649,Electricite
Année de référence,H1a,11,78,MAULE,10,26788,4383649,Fioul
Année de référence,H1a,11,78,MAULE,10,26788,4383649,Gaz
Année de référence,H1a,11,78,MAULETTE,4,8029,902177,Gaz
Année de référence,H1a,11,78,MAUREPAS,64,156543,29708350,Electricite
Année de référence,H1a,11,78,MAUREPAS,64,156543,29708350,Gaz
Année de référence,H1a,11,78,MEULAN EN YVELINES,12,52203,13421662,Electricite
Année de référence,H1a,11,78,MEULAN EN YVELINES,12,52203,13421662,Gaz
Année de référence,H1a,11,78,MEZIERES SUR SEINE,11,21628,4900455,Electricite
Année de référence,H1a,11,78,MEZIERES SUR SEINE,11,21628,4900455,Gaz
Année de référence,H1a,11,78,MONTESSON,21,88684,20964828,Electricite
Année de référence,H1a,11,78,MONTESSON,21,88684,20964828,Gaz
Année de référence,H1a,11,78,MONTFORT L AMAURY,3,24609,5087994,Electricite
Année de référence,H1a,11,78,MONTFORT L AMAURY,3,24609,5087994,Gaz
Année de référence,H1a,11,78,NOISY LE ROI,3,11821,2106113,Electricite
Année de référence,H1a,11,78,ORGERUS,3,8760,5123473,Electricite
Année de référence,H1a,11,78,ORGERUS,3,8760,5123473,Gaz
Année de référence,H1a,11,78,ORGEVAL,18,38332,10567253,Electricite
Année de référence,H1a,11,78,ORGEVAL,18,38332,10567253,Gaz
Année de référence,H1a,11,78,PORCHEVILLE,10,18566,5395687,Electricite
Année de référence,H1a,11,78,PORCHEVILLE,10,18566,5395687,Gaz
Année de référence,H1a,11,78,ROSNY SUR SEINE,16,34227,3530536,Electricite
Année de référence,H1a,11,78,ROSNY SUR SEINE,16,34227,3530536,Gaz
Année de référence,H1a,11,78,SAINT ARNOULT EN YVELINES,5,16313,3297342,Electricite
Année de référence,H1a,11,78,SAINT ARNOULT EN YVELINES,5,16313,3297342,Gaz
Année de référence,H1a,11,78,SAINT CYR L ECOLE,7,19864,4719794,Electricite
Année de référence,H1a,11,78,SAINT CYR L ECOLE,7,19864,4719794,Gaz
Année de référence,H1a,11,78,SAINT NOM LA BRETECHE,18,16622,3097447,Electricite
Année de référence,H1a,11,78,SAINT NOM LA BRETECHE,18,16622,3097447,Gaz
Année de référence,H1a,11,78,SAINT REMY LES CHEVREUSE,28,58742,19276220,Electricite
Année de référence,H1a,11,78,SAINT REMY LES CHEVREUSE,28,58742,19276220,Gaz
Année de référence,H1a,11,78,SARTROUVILLE,43,139196,31754785,Electricite
Année de référence,H1a,11,78,SARTROUVILLE,43,139196,31754785,Gaz
Année de référence,H1a,11,78,TRIEL SUR SEINE,5,12536,3869132,Electricite
Année de référence,H1a,11,78,TRIEL SUR SEINE,5,12536,3869132,Gaz
Année de référence,H1a,11,78,VERNEUIL SUR SEINE,8,53451,11177757,Electricite
Année de référence,H1a,11,78,VERNEUIL SUR SEINE,8,53451,11177757,Gaz
Année de référence,H1a,11,78,VERNOUILLET,14,37445,6082969,Electricite
Année de référence,H1a,11,78,VERNOUILLET,14,37445,6082969,Gaz
Année de référence,H1a,11,78,VILLENNES SUR SEINE,9,18985,2523838,Electricite
Année de référence,H1a,11,78,VILLENNES SUR SEINE,9,18985,2523838,Gaz
Année de référence,H1a,11,78,VILLEPREUX,12,28067,4923695,Electricite
Année de référence,H1a,11,78,VILLEPREUX,12,28067,4923695,Gaz
Année de référence,H1a,11,78,VILLIERS SAINT FREDERIC,6,28929,8428876,Electricite
Année de référence,H1a,11,78,VILLIERS SAINT FREDERIC,6,28929,8428876,Gaz
Année de référence,H1a,11,78,VIROFLAY,11,58199,8313642,Electricite
Année de référence,H1a,11,78,VIROFLAY,11,58199,8313642,Gaz
Année de référence,H1a,11,78,VOISINS LE BRETONNEUX,17,32148,6335824,Electricite
Année de référence,H1a,11,78,VOISINS LE BRETONNEUX,17,32148,6335824,Gaz
Année de référence,H1a,11,91,ARPAJON,5,13171,2176419,Electricite
Année de référence,H1a,11,91,ARPAJON,5,13171,2176419,Gaz
Année de référence,H1a,11,91,AVRAINVILLE,6,9419,921690,Electricite
Année de référence,H1a,11,91,AVRAINVILLE,6,9419,921690,Gaz
Année de référence,H1a,11,91,BALLAINVILLIERS,9,45911,11935814,Electricite
Année de référence,H1a,11,91,BALLAINVILLIERS,9,45911,11935814,Gaz
Année de référence,H1a,11,91,BALLANCOURT SUR ESSONNE,8,12838,2062416,Electricite
Année de référence,H1a,11,91,BALLANCOURT SUR ESSONNE,8,12838,2062416,Gaz
Année de référence,H1a,11,91,BIEVRES,5,5558,691223,Electricite
Année de référence,H1a,11,91,BONDOUFLE,13,47696,11411001,Electricite
Année de référence,H1a,11,91,BONDOUFLE,13,47696,11411001,Gaz
Année de référence,H1a,11,91,BOUSSY SAINT ANTOINE,9,43757,14458614,Electricite
Année de référence,H1a,11,91,BOUSSY SAINT ANTOINE,9,43757,14458614,Gaz
Année de référence,H1a,11,91,BREUILLET,12,24962,5840099,Electricite
Année de référence,H1a,11,91,BREUILLET,12,24962,5840099,Reseau de chaleur
Année de référence,H1a,11,91,BRUNOY,42,108735,19142386,Electricite
Année de référence,H1a,11,91,BRUNOY,42,108735,19142386,Gaz
Année de référence,H1a,11,91,BURES SUR YVETTE,15,38194,6299634,Electricite
Année de référence,H1a,11,91,BURES SUR YVETTE,15,38194,6299634,Gaz
