annee_consommation,zone_climatique,nom_region,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie
2020,MAR,Martinique,Martinique,SCHOELCHER,11,42256,8056377,Electricite
2020,MAY,Mayotte,Mayotte,BANDRABOUA,3,6075,197049,Electricite
2020,MAY,Mayotte,Mayotte,MAMOUDZOU,20,74145,7793758,Electricite
2020,MAY,Mayotte,Mayotte,PAMANDZI,3,11889,1261436,Electricite
2020,REU,La Réunion,La Réunion,BRAS PANON,4,6154,1780532,Electricite
2020,REU,La Réunion,La Réunion,LA POSSESSION,11,35026,4137501,Electricite
2020,REU,La Réunion,La Réunion,LE PORT,107,262567,30439411,Electricite
2020,REU,La Réunion,La Réunion,LES AVIRONS,5,12533,495999,Electricite
2020,REU,La Réunion,La Réunion,SAINT ANDRE,28,66595,3052587,Electricite
2020,REU,La Réunion,La Réunion,SAINT BENOIT,27,70246,8503318,Electricite
2020,REU,La Réunion,La Réunion,SAINT LEU,41,54510,8517744,Electricite
2021,GUA,Collectivités d'Outre-Mer,Saint-Martin,SAINT MARTIN,3,4203,446081,Electricite
2021,GUA,Guadeloupe,Guadeloupe,BAIE MAHAULT,112,235532,30819082,Electricite
2021,GUA,Guadeloupe,Guadeloupe,BAILLIF,7,8538,1247179,Electricite
2021,GUA,Guadeloupe,Guadeloupe,BASSE TERRE,10,19871,1539307,Electricite
2021,GUA,Guadeloupe,Guadeloupe,GOURBEYRE,7,15065,731261,Electricite
2021,GUA,Guadeloupe,Guadeloupe,LE MOULE,3,345,43033,Electricite
2021,GUA,Guadeloupe,Guadeloupe,LES ABYMES,47,112824,19262438,Electricite
2021,GUA,Guadeloupe,Guadeloupe,PETIT BOURG,12,13789,723051,Electricite
2021,GUA,Guadeloupe,Guadeloupe,POINTE A PITRE,5,12646,1587580,Electricite
2021,GUA,Guadeloupe,Guadeloupe,SAINT FRANCOIS,5,7890,2164386,Electricite
2021,GUY,Guyane,Guyane,CAYENNE,35,83050,8767411,Electricite
2021,GUY,Guyane,Guyane,KOUROU,5,11054,1911139,Electricite
2021,GUY,Guyane,Guyane,MATOURY,13,20791,2285002,Electricite
2021,GUY,Guyane,Guyane,REMIRE MONTJOLY,15,28750,7579280,Electricite
2021,H1a,Île-de-France,Seine-et-Marne,CHARTRETTES,3,4962,1271222,Inconnu
2021,H1a,Île-de-France,Seine-et-Marne,MAUREGARD,7,3391,224829,Electricite
2021,H1a,Île-de-France,Essonne,CHAMARANDE,3,3913,1320937,Inconnu
2021,H1a,Île-de-France,Essonne,OLLAINVILLE,3,31279,5115491,Inconnu
2021,H1a,Île-de-France,Essonne,SAINT AUBIN,20,17892,2101808,Electricite
2021,H1a,Île-de-France,Essonne,SAINT JEAN DE BEAUREGARD,4,651,117630,Electricite
2021,H1a,Île-de-France,Essonne,VERT LE GRAND,3,8627,3034313,Inconnu
2021,H1a,Île-de-France,Val-de-Marne,PARIS,3,32745,5984623,Inconnu
2021,H1a,Île-de-France,Val-d'Oise,BONNEUIL EN FRANCE,5,65561,4291752,Electricite
2021,H1a,Île-de-France,Val-d'Oise,MERIEL,3,9177,1682569,Inconnu
2021,H1a,Île-de-France,Val-d'Oise,MONTSOULT,4,79165,21245836,Inconnu
2021,H1a,Centre-Val de Loire,Eure-et-Loir,BREZOLLES,3,8315,728516,Inconnu
2021,H1a,Centre-Val de Loire,Eure-et-Loir,TOURY,3,6741,648630,Inconnu
2021,H1a,Normandie,Calvados,PERIERS EN AUGE,3,3548,254555,Electricite
2021,H1a,Normandie,Calvados,SAINT MARTIN DES ENTREES,3,14037,3003133,Electricite
2021,H1a,Normandie,Calvados,TREVIERES,3,3627,351035,Inconnu
2021,H1a,Normandie,Eure,PONT DE L ARCHE,3,7132,811047,Inconnu
2021,H1a,Normandie,Orne,RIVES D ANDAINE,3,8677,2597419,Inconnu
2021,H1a,Normandie,Seine-Maritime,BRETTEVILLE DU GRAND CAUX,3,3822,902140,Inconnu
2021,H1a,Normandie,Seine-Maritime,PISSY POVILLE,6,5716,708847,Electricite
2021,H1a,Normandie,Seine-Maritime,SAINT PIERRE DE VARENGEVILLE,3,7975,979870,Inconnu
2021,H1a,Normandie,Seine-Maritime,SAINT SAENS,3,16098,4214732,Inconnu
2021,H1a,Hauts-de-France,Oise,LA CHAPELLE EN SERVAL,4,14116,2350690,Inconnu
2021,H1a,Hauts-de-France,Oise,MILLY SUR THERAIN,4,1055,308567,Electricite
2021,H1a,Hauts-de-France,Pas-de-Calais,FRESNES LES MONTAUBAN,11,6560,705453,Electricite
2021,H1a,Hauts-de-France,Pas-de-Calais,LE WAST,3,3869,335112,Inconnu
2021,H1a,Hauts-de-France,Pas-de-Calais,WIMILLE,3,16245,3542781,Inconnu
2021,H1a,Grand-Est,Marne,BETHENY,4,16741,820013,Electricite
2021,H1a,Bretagne,Ille-et-Vilaine,NOYAL SUR VILAINE,3,46525,5738797,Electricite
2021,H1a,Nouvelle-Aquitaine,Vienne,CHASSENEUIL DU POITOU,3,8422,988800,Inconnu
2021,H1a,Auvergne-Rhône-Alpes,Rhône,LYON 03,5,11503,1026737,Electricite
2021,H1b,Centre-Val de Loire,Loiret,DORDIVES,4,7185,1228058,Inconnu
2021,H1b,Centre-Val de Loire,Loiret,SAINT PERE SUR LOIRE,3,14541,2917343,Inconnu
2021,H1b,Bourgogne-Franche-Comté,Haute-Saône,JUSSEY,3,7462,1648929,Electricite
2021,H1b,Bourgogne-Franche-Comté,Yonne,BLENEAU,3,5801,1101182,Inconnu
2021,H1b,Grand-Est,Meurthe-et-Moselle,CONFLANS EN JARNISY,4,4290,405691,Electricite
2021,H1b,Grand-Est,Meuse,VASSINCOURT,3,8400,1708524,Fioul
2021,H1b,Grand-Est,Moselle,REDING,3,3519,248750,Electricite
2021,H1b,Grand-Est,Bas-Rhin,HUTTENHEIM,3,7190,1042146,Inconnu
2021,H1b,Grand-Est,Bas-Rhin,KILSTETT,6,583,86760,Electricite
2021,H1b,Grand-Est,Bas-Rhin,LAMPERTHEIM,6,7135,1226593,Electricite
2021,H1b,Grand-Est,Bas-Rhin,MARMOUTIER,4,22821,7000635,Inconnu
2021,H1b,Grand-Est,Bas-Rhin,NIEDERHAUSBERGEN,3,1680,50743,Electricite
2021,H1b,Grand-Est,Bas-Rhin,ROPPENHEIM,96,43235,5055132,Electricite
2021,H1b,Occitanie,Tarn,CASTRES,3,4154,758930,Electricite
2021,H1c,Île-de-France,Hauts-de-Seine,PUTEAUX,15,137884,2376337,Electricite
2021,H1c,Bourgogne-Franche-Comté,Côte-dOr,EPOISSES,3,2952,385943,Inconnu
2021,H1c,Bourgogne-Franche-Comté,Côte-dOr,FIXIN,3,8605,783956,Inconnu
2021,H1c,Bourgogne-Franche-Comté,Côte-dOr,NEUILLY CRIMOLOIS,3,5661,1046848,Inconnu
2021,H1c,Bourgogne-Franche-Comté,Doubs,GENEUILLE,3,7732,1274373,Inconnu
2021,H1c,Bourgogne-Franche-Comté,Saône-et-Loire,FARGES LES CHALON,4,5743,956201,Inconnu
2021,H1c,Bretagne,Côtes-d'Armor,SAINT BRIEUC,5,21494,514587,Electricite
