annee_consommation,zone_climatique,nom_region,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie,coordonnees_gps,densite_energetique,consommation_log,consommation_etat
2020,H3,Provence-Alpes-Côte d'Azur,Var,RAYOL CANADEL SUR MER,4,5029,678640,Electricite,"(43.1591343, 6.4705918)",134.94531716046927,13.427847548015837,Normale
2020,H3,Provence-Alpes-Côte d'Azur,Var,ROCBARON,3,2398,358929,Electricite,"(43.3040144, 6.0910097)",149.67848206839034,12.790882662385737,Normale
2020,H3,Corse,Corse-du-Sud,AFA,3,20523,4498260,Electricite,"(41.9838088, 8.7966629)",219.18140622715978,15.319201435607207,Normale
2020,H3,Corse,Corse-du-Sud,PORTO VECCHIO,20,40280,5686035,Electricite,"(41.5911382, 9.2794469)",141.16273584905662,15.553523902513174,Normale
2020,H3,Corse,Haute-Corse,CALVI,5,9546,1386079,Electricite,"(42.5677079, 8.7590528)",145.19997904881626,14.141990177123967,Normale
2020,H3,Corse,Haute-Corse,GHISONACCIA,4,12686,569917,Electricite,"(42.0149385, 9.40536)",44.92487781806716,13.253247769812818,Normale
2020,H3,Corse,Haute-Corse,L ILE ROUSSE,5,6807,1119787,Electricite,"(42.6344797, 8.9381367)",164.50521521962685,13.92864993964019,Normale
2020,MAR,Martinique,Martinique,DUCOS,9,1131,243110,Electricite,"(14.5743247, -60.9719008)",214.95137046861186,12.401273408149294,Normale
2020,MAR,Martinique,Martinique,FORT DE FRANCE,75,189300,26807202,Electricite,"(14.6027962, -61.0676724)",141.61226624405705,17.104181178025975,Normale
2020,MAR,Martinique,Martinique,LE LAMENTIN,86,207917,28283989,Electricite,"(14.614557, -61.0018145)",136.0349995430869,17.157806478149425,Normale
2020,MAR,Martinique,Martinique,SCHOELCHER,11,42256,8056377,Electricite,"(14.6169451, -61.1004559)",190.65640382430897,15.90197463382891,Normale
2020,MAY,Mayotte,Mayotte,BANDRABOUA,3,6075,197049,Electricite,"(-12.7045482, 45.1221926)",32.43604938271605,12.19121278262315,Normale
2020,MAY,Mayotte,Mayotte,MAMOUDZOU,20,74145,7793758,Electricite,"(-12.7804136, 45.2279761)",105.11508530581968,15.86883384318127,Normale
2020,MAY,Mayotte,Mayotte,PAMANDZI,3,11889,1261436,Electricite,"(-12.7983446, 45.2746515)",106.10110185886113,14.04776210526921,Normale
2020,REU,La Réunion,La Réunion,BRAS PANON,4,6154,1780532,Electricite,"(-20.9987435, 55.6847941)",289.32921676958074,14.392423315647845,Normale
2020,REU,La Réunion,La Réunion,LA POSSESSION,11,35026,4137501,Electricite,"(-20.9269658, 55.3362758)",118.12656312453606,15.235602782051025,Normale
2020,REU,La Réunion,La Réunion,LE PORT,107,262567,30439411,Electricite,"(42.8662832, 1.3740316)",115.93007118183168,17.231248774082623,Normale
2020,REU,La Réunion,La Réunion,LES AVIRONS,5,12533,495999,Electricite,"(-21.2423582, 55.3357911)",39.57544083619245,13.114331205707064,Normale
2020,REU,La Réunion,La Réunion,SAINT ANDRE,28,66595,3052587,Electricite,"(43.273316, 0.8514079)",45.838080937007284,14.931500313380283,Normale
2020,REU,La Réunion,La Réunion,SAINT BENOIT,27,70246,8503318,Electricite,"(45.690211000000005, 5.594554917419655)",121.0505651567349,15.955967115834978,Normale
2020,REU,La Réunion,La Réunion,SAINT LEU,41,54510,8517744,Electricite,"(-21.1677694, 55.2881932)",156.26020913593837,15.95766219241235,Normale
2021,GUA,Collectivités d'Outre-Mer,Saint-Martin,SAINT MARTIN,3,4203,446081,Electricite,"(18.0814066, -63.0467131)",106.13395193909112,13.008258070604908,Normale
2021,GUA,Guadeloupe,Guadeloupe,BAIE MAHAULT,112,235532,30819082,Electricite,"(16.2679458, -61.5870766)",130.84881035273338,17.243644634006724,Normale
2021,GUA,Guadeloupe,Guadeloupe,BAILLIF,7,8538,1247179,Electricite,"(16.0225079, -61.7454024)",146.07390489576014,14.036395560676665,Normale
2021,GUA,Guadeloupe,Guadeloupe,BASSE TERRE,10,19871,1539307,Electricite,"(16.0000778, -61.7333373)",77.4649992451311,14.246843522752204,Normale
2021,GUA,Guadeloupe,Guadeloupe,GOURBEYRE,7,15065,731261,Electricite,"(15.9950443, -61.6919417)",48.540391636242944,13.502527087649966,Normale
2021,GUA,Guadeloupe,Guadeloupe,LE MOULE,3,345,43033,Electricite,"(16.3316709, -61.3476233)",124.73333333333333,10.669745779913397,Normale
2021,GUA,Guadeloupe,Guadeloupe,LES ABYMES,47,112824,19262438,Electricite,"(16.2706436, -61.5057749)",170.72996880096434,16.773667591830673,Normale
2021,GUA,Guadeloupe,Guadeloupe,PETIT BOURG,12,13789,723051,Electricite,"(16.1913912, -61.5903488)",52.43679744724055,13.49123642109955,Normale
2021,GUA,Guadeloupe,Guadeloupe,POINTE A PITRE,5,12646,1587580,Electricite,"(16.2408636, -61.5334077)",125.54009172860984,14.27772203206937,Normale
2021,GUA,Guadeloupe,Guadeloupe,SAINT FRANCOIS,5,7890,2164386,Electricite,"(16.2532002, -61.2750706)",274.3201520912547,14.587647738449183,Normale
2021,GUY,Guyane,Guyane,CAYENNE,35,83050,8767411,Electricite,"(4.9371544, -52.3258736)",105.5678627332932,15.986552223877379,Normale
2021,GUY,Guyane,Guyane,KOUROU,5,11054,1911139,Electricite,"(5.1579834, -52.6424204)",172.89117061697124,14.463210480612283,Normale
2021,GUY,Guyane,Guyane,MATOURY,13,20791,2285002,Electricite,"(4.8496712, -52.3268695)",109.90341974892982,14.641877895219865,Normale
2021,GUY,Guyane,Guyane,REMIRE MONTJOLY,15,28750,7579280,Electricite,"(4.9050148, -52.2771642)",263.6271304347826,15.840928898238278,Normale
2021,H1a,Île-de-France,Seine-et-Marne,CHARTRETTES,3,4962,1271222,Inconnu,"(48.4881157, 2.7005289)",256.19145505844415,14.055489987181303,Normale
2021,H1a,Île-de-France,Seine-et-Marne,MAUREGARD,7,3391,224829,Electricite,"(49.0332971, 2.5809475)",66.30168092008257,12.323099840055049,Normale
2021,H1a,Île-de-France,Essonne,CHAMARANDE,3,3913,1320937,Inconnu,"(48.5136159, 2.2174622)",337.5765397393304,14.093852648262219,Normale
2021,H1a,Île-de-France,Essonne,OLLAINVILLE,3,31279,5115491,Inconnu,"(48.2677463, 5.8062324)",163.5439432206912,15.44778414042541,Normale
2021,H1a,Île-de-France,Essonne,SAINT AUBIN,20,17892,2101808,Electricite,"(50.4573687, 1.6651851)",117.47194276771742,14.558308960448427,Normale
